Datum ;Zeit ;AT [°C];KT Ist [°C];KT Soll [°C];BR ;Sperrzeit ;PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Status;HK2 VL Ist[°C];HK2 VL Soll[°C];HK2 RT Ist[°C];HK2 RT Soll[°C];HK2 Pumpe;HK2 Mischer;HK2 Status;Zubrp1 Pumpe;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
10.12.2020;00:03:24;2,4;39,6;40,0;1;0;0;27,2;34,2;0,0;17,0;0;0;8208;26,5;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;52,4;8,0;8,0;0,00;0,00;0;0;42,6;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:04:24;2,4;39,6;40,0;1;0;0;27,1;34,2;0,0;17,0;0;0;8208;26,4;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;52,2;8,0;8,0;0,00;0,00;0;0;42,7;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:05:24;2,4;39,6;40,0;1;0;0;27,0;34,2;0,0;17,0;0;0;8208;26,4;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;51,9;8,0;8,0;0,00;0,00;0;0;42,6;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:06:24;2,4;39,6;40,0;1;0;0;26,8;34,2;0,0;17,0;0;0;8208;26,3;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;51,7;8,0;8,0;0,00;0,00;0;0;42,5;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:07:24;2,4;39,6;40,0;1;0;0;26,7;34,2;0,0;17,0;0;0;8208;26,2;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;51,5;8,0;8,0;0,00;0,00;0;0;42,6;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:08:24;2,4;39,6;40,0;1;0;0;26,6;34,2;0,0;17,0;0;0;8208;26,1;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;51,3;8,0;8,0;0,00;0,00;0;0;42,6;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:09:24;2,4;39,6;40,0;1;0;0;26,5;34,2;0,0;17,0;0;0;8208;26,1;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;51,1;8,0;8,0;0,00;0,00;0;0;42,6;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:10:24;2,4;39,6;40,0;1;0;0;26,4;34,2;0,0;17,0;0;0;8208;26,0;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;50,8;8,0;8,0;0,00;0,00;0;0;42,6;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:11:24;2,4;39,6;40,0;1;0;0;26,3;34,2;0,0;17,0;0;0;8208;25,9;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;50,5;8,0;8,0;0,00;0,00;0;0;42,5;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
10.12.2020;00:12:24;2,4;39,6;40,0;1;0;0;26,2;34,2;0,0;17,0;0;0;8208;25,9;8,0;0,0;8,0;0;0;8;0;39,6;40,0;35,0;0;50,2;8,0;8,0;0,00;0,00;0;0;42,6;110,0;99;0;0;0;0;0;94;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
